4	0.00	75.00	70.00	87.50	28.57	50.00	50.00	10.00	0.00	30.00	20.00	0.00	0.00	30.00	10.00	50.00	0.00	0.00	68.00	56.25	52.94	38.24	16.67	23.53	44.00	25.00	40.00	13.04	21.05	16.67	0.00	8.33	0.00	23.53	20.00	26.32	8.33	0.00	0.00	15.00	25.00	0.00	5.88	0.00	20.00	27.27	0.00	11.11	15.38	14.29	0.00	0.00	10.00	0.00	20.00	8.33	0.00	27.27	0.00	0.00	76.97
4	10.00	87.50	70.00	100.00	14.29	30.00	50.00	60.00	22.22	10.00	40.00	0.00	0.00	20.00	20.00	30.00	10.00	0.00	56.00	59.38	50.00	23.53	62.50	61.76	44.00	20.00	36.00	13.04	15.79	27.78	8.33	8.33	0.00	17.65	33.33	36.84	8.33	0.00	12.50	20.00	25.00	0.00	47.06	0.00	20.00	18.18	0.00	0.00	38.46	14.29	12.50	0.00	10.00	0.00	0.00	50.00	16.67	45.45	37.50	12.50	71.64
4	0.00	25.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	4.00	0.00	0.00	5.88	4.17	5.88	4.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.53	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	97.09
5	0.00	0.00	10.00	12.50	100.00	10.00	100.00	0.00	0.00	90.00	0.00	0.00	0.00	10.00	0.00	20.00	0.00	0.00	8.00	18.75	8.82	23.53	16.67	5.88	12.00	15.00	12.00	0.00	21.05	5.56	0.00	0.00	0.00	0.00	6.67	10.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	91.64
5	0.00	0.00	10.00	25.00	100.00	0.00	100.00	20.00	0.00	70.00	0.00	0.00	0.00	10.00	0.00	50.00	0.00	0.00	20.00	18.75	11.76	17.65	20.83	14.71	16.00	15.00	16.00	0.00	31.58	11.11	0.00	0.00	0.00	17.65	0.00	5.26	8.33	0.00	0.00	0.00	0.00	11.11	0.00	10.53	0.00	0.00	5.88	0.00	15.38	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	88.97
6	0.00	0.00	20.00	25.00	0.00	100.00	40.00	20.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	8.00	37.50	29.41	11.76	8.33	0.00	8.00	20.00	8.00	0.00	26.32	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	92.85
6	0.00	25.00	60.00	50.00	57.14	100.00	50.00	20.00	0.00	0.00	10.00	0.00	0.00	10.00	0.00	20.00	10.00	0.00	32.00	40.63	29.41	14.71	8.33	0.00	12.00	15.00	12.00	0.00	26.32	5.56	8.33	0.00	0.00	0.00	13.33	0.00	8.33	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	18.18	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	89.21
6	0.00	0.00	80.00	50.00	14.29	100.00	100.00	60.00	0.00	0.00	10.00	0.00	30.00	50.00	0.00	30.00	10.00	0.00	36.00	43.75	35.29	29.41	33.33	11.76	20.00	15.00	16.00	8.70	10.53	16.67	0.00	0.00	0.00	11.76	13.33	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	11.11	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	84.61
6	0.00	0.00	40.00	37.50	28.57	100.00	20.00	50.00	0.00	0.00	30.00	0.00	20.00	10.00	0.00	0.00	0.00	0.00	12.00	25.00	26.47	26.47	12.50	2.94	8.00	5.00	12.00	4.35	15.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	92.00
7	10.00	25.00	90.00	75.00	100.00	100.00	100.00	20.00	33.33	100.00	50.00	100.00	70.00	50.00	20.00	100.00	90.00	10.00	68.00	84.38	82.35	73.53	66.67	47.06	84.00	70.00	48.00	47.83	78.95	66.67	33.33	0.00	37.50	23.53	33.33	42.11	25.00	35.71	12.50	5.00	37.50	33.33	64.71	10.53	0.00	45.45	5.88	33.33	23.08	57.14	25.00	25.00	30.00	18.18	50.00	8.33	0.00	36.36	0.00	0.00	51.52
7	0.00	87.50	90.00	62.50	100.00	90.00	100.00	40.00	33.33	40.00	40.00	20.00	40.00	70.00	30.00	60.00	90.00	10.00	84.00	56.25	67.65	55.88	70.83	29.41	64.00	65.00	32.00	21.74	78.95	66.67	16.67	0.00	12.50	47.06	26.67	26.32	0.00	7.14	12.50	0.00	0.00	22.22	41.18	0.00	0.00	36.36	0.00	0.00	0.00	71.43	25.00	25.00	20.00	9.09	40.00	0.00	0.00	36.36	0.00	0.00	61.82
7	0.00	50.00	30.00	37.50	57.14	60.00	100.00	10.00	22.22	100.00	40.00	0.00	20.00	30.00	10.00	100.00	50.00	20.00	56.00	68.75	58.82	70.59	54.17	29.41	56.00	45.00	36.00	26.09	78.95	66.67	8.33	8.33	25.00	35.29	26.67	21.05	0.00	21.43	0.00	5.00	37.50	44.44	23.53	0.00	0.00	36.36	0.00	22.22	15.38	57.14	0.00	25.00	20.00	9.09	60.00	16.67	0.00	27.27	0.00	0.00	65.09
